Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Battery-Holder-2032,1,Battery_Cell,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C8, C9, C97",C_0402,75,100nF,
"C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96",C_0402,22,330nF,
C98,C_0402,1,22uF,
C99,C_0402,1,1uF,
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D12, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D13, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D14, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D15, D150, D151, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",SMD1010,151,XL-1010RGBC-WS2812B,C5349953
J1,USB-PROG,1,USB-PROG,
J4,2-PADS,1,Conn_01x02,
Q1,SOT-323_SC-70,1,"PMF170XP,115",
"R1, R2, R4, R5",R_0402,4,10K,
R3,R_0402,1,100R,
"SW1, SW2",TS-1092S-B3D2-G,2,SW_Push,C520860
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
